Movie Name,Rating,Rating Count
99 Days With the Superstar,7.1,8520
9/11 Phone Calls from the Towers,8.3,137
7th And Westlake Nino's Revenge,4.8,82
6-Headed Shark Attack,2.5,7275
41,6.2,2468
37-Teen,4.3,212
33 & Beyond: The Royal Art of Freemasonry,6.9,39192
2.0 (Telugu),8.3,1038703
2.0 (Tamil),9.6,357
2.0 (Hindi),7.8,31160
15 Minutes of War,6.4,3223
13 Nights of Elvira,5.5,12296
12 Rounds 3: Lockdown,5.1,4486
102 Not Out,7.4,7416
'Allo 'Allo!,6.2,8901
Wonder Wheel,6.2,30211
Wolf Creek 2,6.1,21983
Where The Truth Lies,6.4,18586
The Limey,6.9,34152
The Lighthouse,7.4,239704
The Goldfinch,6.4,25832
The Dressmaker,7,63955
The Cheap Detective,6.4,5491
The Big Sick,7.5,140894
The Adventurer: The Curse of the Midas Box,5.4,7081
Survivor's Remorse,7.1,2514
SuperTornado: Anatomy of a Megadisaster,7.9,3052
Spun,6.7,40264
Space Truckers,5.4,8373
Smiley Face Killers,3.7,1427
Rambo: Last Blood (Extended Cut),6.1,105944
Paradise City,3.6,2517
Nightmare At Bitter Creek,5,283
National Lampoon's The Legend of Awesomest Maximus,4.1,3289
More Than a Game,7.6,5603
Midsommar (4K UHD),7.1,371012
Maara,7.5,4104
Life In A Year,6.2,10111
Jay and Silent Bob Reboot,5.6,27600
Inside Out,8.1,755158
Hot Rod,6.7,91524
Guns Akimbo,6.3,66811
For Better for Worse,4.8,543
"Don't Worry, He Won't Get Far on Foot",6.8,29453
Dead Man On Campus,6,16193
Custody Of The Heart,6.9,145594
Clockwatchers,6.6,6094
Big Top Pee-Wee,5.1,9930
Barefoot In The Park,7,19968
V (Hindi),7.8,31160
Udaan,8.1,46316
To End All Wars: Director's Cut,7,11413
Thomas & Friends: Big World! Big Adventures! - The Movie (US),4.2,4639
The Sun King Is Dead,5.9,7909
The Haunting of Borley Manor,3.2,140
The Devil To Pay!,6.6,790
The Beast,6.8,179
One Remains,3.2,290
Never Surrender: A Galaxy Quest Documentary,7.7,1997
Necessary Roughness,6.2,12690
Mistaken,7.3,4555
Miss Meadows,5.8,9512
In the Electric Mist,6.1,19429
Borsalino and Co.,6.3,2334
Bharat Ane Nenu,7.5,18158
April Fool's Day,6.1,17854
Agathe Cléry,4.6,842
Wuthering Heights,6,10803
Vinaya Vidheya Rama,3.3,3843
Tumhari Sulu,7,5444
"Thomas & Friends: The Great Race (US English, Brazilian Portuguese, Latin America Spanish)",4.2,4639
"Thomas & Friends: Journey Beyond Sodor (US English, Brazilian Portuguese, Latin America Spanish)",4.2,4639
The VelociPastor,5.1,7997
The Unnamable,4.8,3063
The Taking of Deborah Logan,6,37382
The Pride of The Yankees,7.6,11645
The Outdoorsman,5.5,157
The Night Watch,5.4,2851
The Man Who Fell to Earth,6.6,28068
The Last Black Man in San Francisco,7.3,21068
The Intervention,6,6471
The Identical,5.3,2983
The Girl King,5.9,4355
The Doors - When You're Strange,7.6,10129
The Diary Of Anne Frank,7.4,13374
The Amazing Mr. Blunden,6.8,1607
The Adventures of Petey and Friends,3.7,40918
Thaanaa Serndha Koottam,6.4,6288
Steve Treviño: 'Til Death,8.2,87
Stay Tuned,6.2,13700
Soorarai Pottru (Tamil),8.7,120981
Silent Trigger,5.4,4346
Sharknado 3: Oh Hell No!,4,13547
Sharkbait,4.4,4279
Satyameva Jayate,4.1,16011
Repo! The Genetic Opera,6.4,26036
Raatchasi,7.4,1986
Primal Rage,5,3955
Pride,7.8,317517
Operation Toussaint,8.6,319
Never Let Go,7.1,150578
Mine Games,5.3,4231
Martial Arts of Shaolin,6.4,2511
Marketing the Messiah,6.6,536
Mardaani 2,7.3,10028
Manikarnika: The Queen of Jhansi,6.4,15994
Maharshi,7.2,9234
Little Nemo: Adventures in Slumberland,7.1,8006
Khandani Shafakhana,4.3,1330
K.G.F: Chapter 1 (Hindi),8.2,94097
Jack Frost,5.4,38829
Jaanu,7,1543
It's A Wonderful Life (Black & White Version),8.6,479576
Hick,5.5,20571
Hichki,7.5,13314
Happy Birthday,6,10746
Hannibal Thompson: Out Of Control,5.4,4723
Gully Boy,7.9,42202
Girls Just Want to Have Fun,5.9,12632
Get Thrashed! The Story Of Thrash Metal,7.8,1793
Gallipoli,7.4,41274
Fun With Dick and Jane,6.2,150988
Fukrey Returns,6.5,5927
Flight of the Fury,6.9,50615
Falling for Christmas,5.2,25472
Extracted,6.4,12419
Evaru,8.1,6631
Elvis & Nixon,7.3,216799
Elvira: Mistress of the Dark,6.5,19878
Dead End,6.5,31042
Dabangg 3,3,19813
Cromwell,6.9,6717
Cottage Country,5.6,4727
Coolie No. 1 (4K UHD),6.6,5574
Come to Daddy,6,19534
Charlie and Boots,6.4,1645
"Bravo! Common Men, Uncommon Valor",8.4,51
Bottle Shock,6.8,17475
Black Hawk Down: The Untold Story,7.7,413527
Babe Ruth Story,5.2,1114
Asuran,8.4,32088
Assault on Wall Street,6,21544
After The Dark,5.6,23163
Afflicted,6.2,25062
A Prince for Christmas,5.8,20904
A Bride for Christmas,5.5,14261
10 Minutes Gone,3.6,4245
Tumbbad,8.2,55377
The Bang Bang Club,6.9,11160
The Aeronauts,6.6,36137
Peterloo,6.5,5290
House Hunting,5.1,2894
Fist of Fury,7.2,32718
X,6.6,145579
Wives Under Suspicion,6.1,509
We Are Still Here,5.7,19545
The Vanishing,5.9,19932
The Perfect Wedding,6.3,951
The Expanse (4K UHD),8.5,165119
The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,2.6,6853
Streets,6.7,23399
Stay,6.7,83671
Seberg,6,9965
Rudderless,7.4,19222
Marc Maron: Thinky Pain,7.3,1953
Les Misérables,7.5,340183
Last Chance Café,8.1,24
Killer Sofa,3.7,2853
Joji,7.8,10448
Howl,5.5,14858
Devil in the Dark,4.8,1903
Dear God,5.4,4157
Dawn,7.3,265991
Arthur and the Haunted Tree House,5.9,132
Archive,6.4,25198
Action,5.5,11948
The Wall,8.2,1511634
Suspiria,6.7,87207
Philly Kid,5.6,2280
Netherbeast Incorporated,5.5,1437
Intruders,5.7,13853
Into the Sun,4.3,7915
Hostile,5.4,6898
Henry VII: The Winter King,7,6870
Grimm Love,5.2,3548
Escape Plan: the Extractors Aka Escape Plan 3,4.4,16091
Dummy,6.6,6827
Domestic Disturbance,5.6,28328
City of Shadows,4.9,149
Calamity Jane: Legend of the West,7.7,516
The Legend of Butch and Sundance,7.4,416015
The Capture of the Green River Killer,3.4,1246
Rambo: Last Blood,6.1,105944
Doctor Liza,7.2,701
The Resident,5.3,29223
The Dark Valley,7.1,14046
The Grand Seduction,7,18779
Take Care Good Night,7.4,236
Secrets of Deception,4.2,317
Pink: Staying True,5.9,166
Monster Maker,3.8,939
Living With Dinosaurs,5.2,11726
Hired Gun,7.2,2143
Grease Live!,5,16
Global Meltdown,3.2,728
David's Mother,7.1,2039
Forest Fairies,6.5,118
Take Care,7.8,6756
